name,city,state,ein,ntee_code,total_revenue,ntee_major,source
COMMUNITY FOUNDATION MONTEREY COUNT,Monterey,CA,,,,,irs_990pf
FRIENDS OF HOPKINS MARINE LAB,Stanford,CA,,,,,irs_990pf
KAZU,Pacific Grove,CA,,,,,irs_990pf
KQEDKQET,San Francisco,CA,,,,,irs_990pf
LAND WATCH,Salinas,CA,,,,,irs_990pf
MBARI,Moss Landing,CA,,,,,irs_990pf
MONTEREY BAY AQUARIUM,Monterey,CA,,,,,irs_990pf
MONTEREY SYMPHONY,Carmel,CA,,,,,irs_990pf
NATIONAL RESOURCE DEFENSE COUNCIL,New York,NY,,,,,irs_990pf
OCEAN CONSERVANCY,Washington,DC,,,,,irs_990pf
PLANNED PARENTHOOD MAR MONTE,San Jose,CA,,,,,irs_990pf
SAVE OUR SHORES,Santa Cruz,CA,,,,,irs_990pf
SMUIN BALLET,San Francisco,CA,,,,,irs_990pf
SPCA OF MONTEREY COUNTY,Monterey,CA,,,,,irs_990pf
STANFORD PACKARD CHILDREN S HOSPITA,Palo Alto,CA,,,,,irs_990pf
SALVATION ARMY,Seaside,CA,,,,,irs_990pf
YOUTH MUSIC MONTEREY,Monterey,CA,,,,,irs_990pf
MONTEREY HIGH SCHOOL MUSIC DEPT,Monterey,CA,,,,,irs_990pf
PACIFIC GROVE POP ORCHESTRA,Pacific Grove,CA,,,,,irs_990pf
FRIENDS OF MONTEREY PUBLIC LIBRARY,Monterey,CA,,,,,irs_990pf
MIDBAR KODESH TEMPLE,HENDERSON,NV,,,,,irs_990pf
TOURO UNIVERSITY-NEVADA,HENDERSON,NV,,,,,irs_990pf
LAS VEGAS CLARK COUNTY LIBRARY DIST,LAS VEGAS,NV,,,,,irs_990pf
IMPROVE CARE NOW,BURLINGTON,VT,,,,,irs_990pf
ADELSON EDUCATIONAL CAMPUS,LAS VEGAS,NV,,,,,irs_990pf
CAMP ALONIM,BRANDEIS,CA,,,,,irs_990pf
CHILDREN WITH HAIR LOSS,ROCKWOOD,MI,,,,,irs_990pf
CLARK COUNTRY SCHOOL DISTRICT,LAS VEGAS,NV,,,,,irs_990pf
NEVADA YOUTH NETWORK,LAS VEGAS,NV,,,,,irs_990pf
JDRF JUVENILE DIABETES,Las Vegas,NV,,,,,irs_990pf
LDS - LAKEVIEW 7TH WARD,Orem,UT,,,,,irs_990pf
HANDS TOGETHER,Springfield,MA,,,,,irs_990pf
LDS - SUN VALLEY WARD,Las Vegas,NV,,,,,irs_990pf
GRAMEEN FOUNDATION,Washington,DC,,,,,irs_990pf
NV PUBLIC RADIO,Las Vegas,NV,,,,,irs_990pf
LDS - SUMMERLIN WARD,Las Vegas,NV,,,,,irs_990pf
BREAD FOR THE WORLD,Washington,DC,,,,,irs_990pf
RESULTS EDUCATION FUND,Washington,DC,,,,,irs_990pf
VEGAS PBS,Las Vegas,NV,,,,,irs_990pf
NAMI SOUTHERN NEVADA,Arlington,VA,,,,,irs_990pf
BE A SHERO FOUNDATION,Las Vegas,NV,,,,,irs_990pf
LIVING GRACE HOME,Henderson,NV,,,,,irs_990pf
AMERICAN HEART ASSOCIATION,Las Vegas,NV,,,,,irs_990pf
THREE SQUARE,Las Vegas,NV,,,,,irs_990pf
ST JUDE CHILDREN S RESEARCH HOSPITA,Las Vegas,NV,,,,,irs_990pf
ALZHEIMERS ASSOCIATION,Las Vegas,NV,,,,,irs_990pf
ALEXIS TRIPPON,HOUSTON,TX,,,,,irs_990pf
JAZZMYNE HERRINGTON,KATY,TX,,,,,irs_990pf
JORDAN HALEY,HOUSTON,TX,,,,,irs_990pf
SARA ROBERTS,RIDGELAND,MS,,,,,irs_990pf
MALLORY MORGAN,KATY,TX,,,,,irs_990pf
ANDREA DAPELO,CROWLEY,TX,,,,,irs_990pf
DAVID EGGLETON,HOUSTON,TX,,,,,irs_990pf
ANDREW BOUTTE,HOUSTON,TX,,,,,irs_990pf
GIRLS INC,Lowell,MA,,,,,irs_990pf
GREATER LOWELL FAMILY YMCA,Lowell,MA,,,,,irs_990pf
LOWELL COMMUNITY HEALTH,Lowell,MA,,,,,irs_990pf
CATHOLIC CHARITIES FOR GAP,Lowell,MA,,,,,irs_990pf
IT S ALL ABOUT THE KIDS FOUNDATION,Lowell,MA,,,,,irs_990pf
LIFE SAVER MINISTRIES-MY FATHER S H,N Chelmsford,MA,,,,,irs_990pf
MISCELLANEOUS REQUESTS,Lowell,MA,,,,,irs_990pf
GROTONWOODOCEANWOOD CAMPERSHIPS,Groton,MA,,,,,irs_990pf
CALVARY BAPTIST CHURCH-TEENS ALIVE,Lowell,MA,,,,,irs_990pf
ANGELS ABOVE,Lowell,MA,,,,,irs_990pf
THE WISH PROJECT,Lowell,MA,,,,,irs_990pf
ANN SULLIVAN CENTER,Lowell,MA,,,,,irs_990pf
CAITLIN HEMPHILL,WINNFIELD,LA,,,,,irs_990pf
KRISTY ROYALL,WINNFIELD,LA,,,,,irs_990pf
ALLIANCE DEFENDING FREEDOM,SCOTTSDALE,AZ,,,,,irs_990pf
BILLY GRAHAM EVANGELISTIC ASSOCIATION,CHARLOTTE,NC,,,,,irs_990pf
